match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
1473440,1,Mumbai Indians,Chennai Super Kings,14,1,MJ Santner,R Ashwin,Naman Dhir,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,14,2,Naman Dhir,R Ashwin,MJ Santner,2,0,2,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,14,3,Naman Dhir,R Ashwin,MJ Santner,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,14,4,MJ Santner,R Ashwin,Naman Dhir,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,14,5,Naman Dhir,R Ashwin,MJ Santner,4,0,4,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,14,6,Naman Dhir,R Ashwin,MJ Santner,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,15,1,Naman Dhir,NT Ellis,MJ Santner,2,0,2,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,15,2,Naman Dhir,NT Ellis,MJ Santner,2,0,2,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,15,3,Naman Dhir,NT Ellis,MJ Santner,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,15,4,MJ Santner,NT Ellis,Naman Dhir,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,15,5,MJ Santner,NT Ellis,Naman Dhir,0,1,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,15,6,MJ Santner,NT Ellis,Naman Dhir,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,15,7,Naman Dhir,NT Ellis,MJ Santner,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,16,1,Naman Dhir,Noor Ahmad,MJ Santner,0,0,0,,1,Naman Dhir,bowled,
1473440,1,Mumbai Indians,Chennai Super Kings,16,2,DL Chahar,Noor Ahmad,MJ Santner,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,16,3,DL Chahar,Noor Ahmad,MJ Santner,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,16,4,MJ Santner,Noor Ahmad,DL Chahar,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,16,5,DL Chahar,Noor Ahmad,MJ Santner,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,16,6,DL Chahar,Noor Ahmad,MJ Santner,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,17,1,MJ Santner,NT Ellis,DL Chahar,4,0,4,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,17,2,MJ Santner,NT Ellis,DL Chahar,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,17,3,MJ Santner,NT Ellis,DL Chahar,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,17,4,DL Chahar,NT Ellis,MJ Santner,2,0,2,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,17,5,DL Chahar,NT Ellis,MJ Santner,0,1,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,17,6,MJ Santner,NT Ellis,DL Chahar,0,0,0,,1,MJ Santner,lbw,
1473440,1,Mumbai Indians,Chennai Super Kings,18,1,DL Chahar,KK Ahmed,TA Boult,4,0,4,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,18,2,DL Chahar,KK Ahmed,TA Boult,6,0,6,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,18,3,DL Chahar,KK Ahmed,TA Boult,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,18,4,TA Boult,KK Ahmed,DL Chahar,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,18,5,DL Chahar,KK Ahmed,TA Boult,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,18,6,TA Boult,KK Ahmed,DL Chahar,0,0,0,,1,TA Boult,caught,RD Gaikwad
1473440,1,Mumbai Indians,Chennai Super Kings,19,1,DL Chahar,NT Ellis,PVSN Raju,2,0,2,,0,,,
